unixtime,posx,posy,posz,velx,vely,velz,q1,q2,q3,q4
1775176300.861065,-58131651.25113,-3258833.465611,-2925587.930917,-15960.0,-12610.0,-7121.0,0.7520012259483,-0.5139924883842,-0.2893953323364,0.2942043542862
1775176360.773241,-59081730.98522,-4014650.311477,-3352455.604626,-15710.0,-12590.0,-7108.0,0.7530337572098,-0.5089390873909,-0.2929813563824,0.2967879474163
1775176420.774785,-60017459.52411,-4769493.434271,-3778509.423345,-15480.0,-12570.0,-7094.0,0.752969622612,-0.5050576329231,-0.2963944375515,0.3001730144024
1775176480.728805,-60939331.4402,-5523236.734743,-4203691.289618,-15250.0,-12550.0,-7079.0,0.7527114152908,-0.5012865662575,-0.3006359636784,0.3029113709927
1775176540.959045,-61847816.54989,-6275767.956236,-4627950.058636,-15030.0,-12530.0,-7064.0,0.7516368627548,-0.4979419708252,-0.3063768148422,0.3053343594074
1775176601.718724,-62758181.20653,-7039496.970463,-5058287.81993,-14820.0,-12510.0,-7047.0,0.7505500912666,-0.4950417280197,-0.31104773283,0.3079895675182
1775176661.87834,-63641004.47412,-7789290.829366,-5480553.610062,-14610.0,-12490.0,-7030.0,0.6853028535843,-0.5209152698517,-0.2231421917677,0.4574000835419
1775176721.961016,-64511722.91232,-8537603.708126,-5901777.920132,-14410.0,-12460.0,-7012.0,0.5770526528358,-0.5120548009872,-0.06267952173948,0.633151948452
1775176962.856832,-67894661.86333,-11527127.00571,-7582653.948445,-13680.0,-12350.0,-6937.0,-0.02153181470931,-0.2956094741821,0.5554986596107,0.7768993973732
1775177022.736174,-68710112.05373,-12267114.98652,-7998273.820426,-13510.0,-12320.0,-6918.0,-0.007981073111296,-0.3010041117668,0.5509227514267,0.7783424258232
1775177142.827136,-70311174.88471,-13741682.26551,-8825995.350537,-13180.0,-12260.0,-6878.0,-0.01840191148221,-0.2893975377083,0.54621976614,0.7858462929726
1775177210.254195,-71089865.75108,-14469172.29565,-9234133.068015,-13030.0,-12230.0,-6859.0,-0.02831980213523,-0.2745344042778,0.5464128851891,0.7907349467278
1775177270.752528,-71982715.94261,-15311582.14746,-9706565.154474,-12850.0,-12190.0,-6836.0,-0.04038092494011,-0.2571050226688,0.5451856851578,0.7968932986259
1775177330.75194,-72749497.8319,-16042066.57784,-10116078.45757,-12710.0,-12160.0,-6816.0,-0.05067580193281,-0.2413861453533,0.5442970991135,0.8018137812614
1775177390.624077,-73507603.62115,-16770638.27798,-10524385.18335,-12570.0,-12130.0,-6796.0,-0.06023823842406,-0.2259210795164,0.5423854589462,0.8069380521774
1775177450.747001,-74257265.78,-17497284.00146,-10931482.75246,-12430.0,-12100.0,-6775.0,-0.05430612713099,-0.2221395820379,0.5354255437851,0.8130340576172
1775177510.722154,-74998707.48585,-18221993.12275,-11337370.02053,-12290.0,-12060.0,-6755.0,-0.04729305952787,-0.2188861519098,0.5279988050461,0.8191882967949
1775177570.77259,-75732142.89296,-18944757.3688,-11742046.84922,-12160.0,-12030.0,-6735.0,-0.04109781980515,-0.2149236500263,0.5203524827957,0.8254405260086
1775177630.726007,-76457777.61149,-19665570.58062,-12145514.04665,-12030.0,-12000.0,-6715.0,-0.03479917347431,-0.2107908129692,0.5121876597404,0.8318774700165
1775177690.809233,-77175809.19068,-20384428.51739,-12547773.29744,-11910.0,-11970.0,-6695.0,-0.02906057238579,-0.2087125480175,0.5023505091667,0.838593184948
1775177750.73808,-77886427.51707,-21101328.82723,-12948827.01826,-11780.0,-11930.0,-6675.0,-0.02574768476188,-0.2117506116629,0.508053123951,0.8344943523407
1775177810.771167,-78589815.26395,-21816270.50838,-13348678.46155,-11660.0,-11900.0,-6655.0,-0.02067771367729,-0.215484008193,0.5134525299072,0.8303647041321
1775177870.68343,-79286148.16895,-22529254.05614,-13747331.45017,-11550.0,-11870.0,-6635.0,-0.01606817916036,-0.2195148169994,0.5182478427887,0.8264225721359
1775177930.696696,-79975595.4272,-23240281.2931,-14144790.3797,-11440.0,-11840.0,-6615.0,-0.01168284844607,-0.2220610976219,0.5222255587578,0.8233060240746
1775177990.809147,-80658319.98628,-23949355.22133,-14541060.14237,-11320.0,-11800.0,-6595.0,-0.007362202741206,-0.2244693338871,0.5257532000542,0.8204528689384
1775178050.655959,-81334478.85097,-24656479.87569,-14936146.07311,-11220.0,-11770.0,-6575.0,-0.003371227532625,-0.2262114435434,0.5286656618118,0.8181256651878
1775178110.636876,-82004223.3737,-25361660.24542,-15330053.90877,-11110.0,-11740.0,-6556.0,0.0003658886998892,-0.227794483304,0.5311523675919,0.8160800933838
1775178170.76784,-82667699.52283,-26064902.18969,-15722789.75037,-11010.0,-11710.0,-6536.0,0.003752029500902,-0.2288940250874,0.5333289504051,0.8143424987793
1775178231.039256,-83314140.89332,-26754538.65172,-16107842.80972,-10910.0,-11670.0,-6517.0,0.007497249636799,-0.2297172695398,0.5344990491867,0.8133170008659
1775178291.522037,-83965596.69748,-27453956.36529,-16498273.44693,-10810.0,-11640.0,-6498.0,0.01200367044657,-0.2310945242643,0.5344634652138,0.8128960728645
1775178351.651696,-84600476.66879,-28139846.83115,-16881073.196,-10710.0,-11610.0,-6479.0,0.01555630285293,-0.2320767045021,0.5352878570557,0.8120131492615
1775178412.053106,-85229808.8332,-28823891.15791,-17262765.59302,-10620.0,-11580.0,-6461.0,0.01863163523376,-0.2330795824528,0.5357668399811,0.8113449811935
1775178472.837917,-85853709.69906,-29506098.82086,-17643357.72572,-10530.0,-11550.0,-6442.0,0.01748180761933,-0.2384569495916,0.5364711880684,0.8093400597572
1775178532.61061,-86461850.57758,-30174961.17294,-18016433.08449,-10440.0,-11520.0,-6424.0,0.01567335240543,-0.2423558086157,0.5378166437149,0.8073235154152
1775178592.401243,-87075311.35673,-30853553.60471,-18394864.56679,-10350.0,-11490.0,-6405.0,0.01448527444154,-0.2480167448521,0.5376588106155,0.8057300448418
1775178653.312968,-87693935.59697,-31541793.62027,-18778604.51447,-10270.0,-11460.0,-6387.0,0.01338875759393,-0.2525023519993,0.5378583669662,0.8042211532593
1775178713.527295,-88297204.64667,-32216748.08306,-19154868.07781,-10180.0,-11430.0,-6369.0,0.01216134987772,-0.2575839459896,0.537251830101,0.8030337095261
1775178774.470772,-88895571.94335,-32889914.17314,-19530068.10707,-10100.0,-11400.0,-6351.0,0.01093834545463,-0.262185126543,0.5363457202911,0.8021674156189
1775178835.172863,-89489133.64105,-33561302.38614,-19904212.20545,-10020.0,-11370.0,-6333.0,0.009592523798347,-0.2662118077278,0.5345757603645,0.8020399212837
1775178896.284291,-90087924.18335,-34242258.68862,-20283623.21834,-9941.0,-11330.0,-6315.0,0.006069068796933,-0.268891274929,0.5325698852539,0.8025147914886
